country_fr,iso3c,date,restriction_type,restriction_level,flag_level
Norvège,NOR,2020-06-09,confinement,0,NA
Norvège,NOR,2020-06-10,confinement,0,NA
Norvège,NOR,2020-06-11,confinement,NA,NA
Norvège,NOR,2020-06-12,confinement,NA,NA
Norvège,NOR,2020-06-13,confinement,NA,NA
Norvège,NOR,2020-06-14,confinement,NA,NA
Pologne,POL,2020-01-01,confinement,0,NA
Pologne,POL,2020-01-02,confinement,0,NA
Pologne,POL,2020-01-03,confinement,0,NA
Pologne,POL,2020-01-04,confinement,0,NA
Pologne,POL,2020-01-05,confinement,0,NA
Pologne,POL,2020-01-06,confinement,0,NA
Pologne,POL,2020-01-07,confinement,0,NA
Pologne,POL,2020-01-08,confinement,0,NA
Pologne,POL,2020-01-09,confinement,0,NA
Pologne,POL,2020-01-10,confinement,0,NA
Pologne,POL,2020-01-11,confinement,0,NA
Pologne,POL,2020-01-12,confinement,0,NA
Pologne,POL,2020-01-13,confinement,0,NA
Pologne,POL,2020-01-14,confinement,0,NA
Pologne,POL,2020-01-15,confinement,0,NA
Pologne,POL,2020-01-16,confinement,0,NA
Pologne,POL,2020-01-17,confinement,0,NA
Pologne,POL,2020-01-18,confinement,0,NA
Pologne,POL,2020-01-19,confinement,0,NA
Pologne,POL,2020-01-20,confinement,0,NA
Pologne,POL,2020-01-21,confinement,0,NA
Pologne,POL,2020-01-22,confinement,0,NA
Pologne,POL,2020-01-23,confinement,0,NA
Pologne,POL,2020-01-24,confinement,0,NA
Pologne,POL,2020-01-25,confinement,0,NA
Pologne,POL,2020-01-26,confinement,0,NA
Pologne,POL,2020-01-27,confinement,0,NA
Pologne,POL,2020-01-28,confinement,0,NA
Pologne,POL,2020-01-29,confinement,0,NA
Pologne,POL,2020-01-30,confinement,0,NA
Pologne,POL,2020-01-31,confinement,0,NA
Pologne,POL,2020-02-01,confinement,0,NA
Pologne,POL,2020-02-02,confinement,0,NA
Pologne,POL,2020-02-03,confinement,0,NA
Pologne,POL,2020-02-04,confinement,0,NA
Pologne,POL,2020-02-05,confinement,0,NA
Pologne,POL,2020-02-06,confinement,0,NA
Pologne,POL,2020-02-07,confinement,0,NA
Pologne,POL,2020-02-08,confinement,0,NA
Pologne,POL,2020-02-09,confinement,0,NA
Pologne,POL,2020-02-10,confinement,0,NA
Pologne,POL,2020-02-11,confinement,0,NA
Pologne,POL,2020-02-12,confinement,0,NA
Pologne,POL,2020-02-13,confinement,0,NA
Pologne,POL,2020-02-14,confinement,0,NA
Pologne,POL,2020-02-15,confinement,0,NA
Pologne,POL,2020-02-16,confinement,0,NA
Pologne,POL,2020-02-17,confinement,0,NA
Pologne,POL,2020-02-18,confinement,0,NA
Pologne,POL,2020-02-19,confinement,0,NA
Pologne,POL,2020-02-20,confinement,0,NA
Pologne,POL,2020-02-21,confinement,0,NA
Pologne,POL,2020-02-22,confinement,0,NA
Pologne,POL,2020-02-23,confinement,0,NA
Pologne,POL,2020-02-24,confinement,0,NA
Pologne,POL,2020-02-25,confinement,0,NA
Pologne,POL,2020-02-26,confinement,0,NA
Pologne,POL,2020-02-27,confinement,0,NA
Pologne,POL,2020-02-28,confinement,0,NA
Pologne,POL,2020-02-29,confinement,0,NA
Pologne,POL,2020-03-01,confinement,0,NA
Pologne,POL,2020-03-02,confinement,0,NA
Pologne,POL,2020-03-03,confinement,0,NA
Pologne,POL,2020-03-04,confinement,0,NA
Pologne,POL,2020-03-05,confinement,0,NA
Pologne,POL,2020-03-06,confinement,0,NA
Pologne,POL,2020-03-07,confinement,0,NA
Pologne,POL,2020-03-08,confinement,0,NA
Pologne,POL,2020-03-09,confinement,0,NA
Pologne,POL,2020-03-10,confinement,0,NA
Pologne,POL,2020-03-11,confinement,0,NA
Pologne,POL,2020-03-12,confinement,0,NA
Pologne,POL,2020-03-13,confinement,0,NA
Pologne,POL,2020-03-14,confinement,0,NA
Pologne,POL,2020-03-15,confinement,0,NA
Pologne,POL,2020-03-16,confinement,0,NA
Pologne,POL,2020-03-17,confinement,0,NA
Pologne,POL,2020-03-18,confinement,0,NA
Pologne,POL,2020-03-19,confinement,0,NA
Pologne,POL,2020-03-20,confinement,0,NA
Pologne,POL,2020-03-21,confinement,0,NA
Pologne,POL,2020-03-22,confinement,0,NA
Pologne,POL,2020-03-23,confinement,0,NA
Pologne,POL,2020-03-24,confinement,0,NA
Pologne,POL,2020-03-25,confinement,0,NA
Pologne,POL,2020-03-26,confinement,0,NA
Pologne,POL,2020-03-27,confinement,0,NA
Pologne,POL,2020-03-28,confinement,0,NA
Pologne,POL,2020-03-29,confinement,0,NA
Pologne,POL,2020-03-30,confinement,0,NA
Pologne,POL,2020-03-31,confinement,2,1
Pologne,POL,2020-04-01,confinement,2,1
Pologne,POL,2020-04-02,confinement,2,1
Pologne,POL,2020-04-03,confinement,2,1
Pologne,POL,2020-04-04,confinement,2,1
Pologne,POL,2020-04-05,confinement,2,1
Pologne,POL,2020-04-06,confinement,2,1
Pologne,POL,2020-04-07,confinement,2,1
Pologne,POL,2020-04-08,confinement,2,1
Pologne,POL,2020-04-09,confinement,1,1
Pologne,POL,2020-04-10,confinement,1,1
Pologne,POL,2020-04-11,confinement,1,1
Pologne,POL,2020-04-12,confinement,1,1
Pologne,POL,2020-04-13,confinement,1,1
Pologne,POL,2020-04-14,confinement,1,1
Pologne,POL,2020-04-15,confinement,1,1
Pologne,POL,2020-04-16,confinement,1,1
Pologne,POL,2020-04-17,confinement,1,1
Pologne,POL,2020-04-18,confinement,1,1
Pologne,POL,2020-04-19,confinement,1,1
Pologne,POL,2020-04-20,confinement,1,1
Pologne,POL,2020-04-21,confinement,1,1
Pologne,POL,2020-04-22,confinement,1,1
Pologne,POL,2020-04-23,confinement,1,1
Pologne,POL,2020-04-24,confinement,1,1
Pologne,POL,2020-04-25,confinement,1,1
Pologne,POL,2020-04-26,confinement,1,1
Pologne,POL,2020-04-27,confinement,1,1
Pologne,POL,2020-04-28,confinement,1,1
Pologne,POL,2020-04-29,confinement,1,1
Pologne,POL,2020-04-30,confinement,1,1
Pologne,POL,2020-05-01,confinement,1,1
Pologne,POL,2020-05-02,confinement,1,1
Pologne,POL,2020-05-03,confinement,1,1
Pologne,POL,2020-05-04,confinement,1,1
Pologne,POL,2020-05-05,confinement,1,1
Pologne,POL,2020-05-06,confinement,1,1
Pologne,POL,2020-05-07,confinement,1,1
Pologne,POL,2020-05-08,confinement,1,1
Pologne,POL,2020-05-09,confinement,1,1
Pologne,POL,2020-05-10,confinement,1,1
Pologne,POL,2020-05-11,confinement,1,1
Pologne,POL,2020-05-12,confinement,1,1
Pologne,POL,2020-05-13,confinement,1,1
Pologne,POL,2020-05-14,confinement,1,1
Pologne,POL,2020-05-15,confinement,1,1
Pologne,POL,2020-05-16,confinement,1,1
Pologne,POL,2020-05-17,confinement,1,1
Pologne,POL,2020-05-18,confinement,1,1
Pologne,POL,2020-05-19,confinement,1,1
Pologne,POL,2020-05-20,confinement,1,1
Pologne,POL,2020-05-21,confinement,1,1
Pologne,POL,2020-05-22,confinement,1,1
Pologne,POL,2020-05-23,confinement,1,1
Pologne,POL,2020-05-24,confinement,1,1
Pologne,POL,2020-05-25,confinement,1,1
Pologne,POL,2020-05-26,confinement,1,1
Pologne,POL,2020-05-27,confinement,1,1
Pologne,POL,2020-05-28,confinement,1,1
Pologne,POL,2020-05-29,confinement,1,1
Pologne,POL,2020-05-30,confinement,0,NA
Pologne,POL,2020-05-31,confinement,0,NA
Pologne,POL,2020-06-01,confinement,0,NA
Pologne,POL,2020-06-02,confinement,0,NA
Pologne,POL,2020-06-03,confinement,0,NA
Pologne,POL,2020-06-04,confinement,0,NA
Pologne,POL,2020-06-05,confinement,0,NA
Pologne,POL,2020-06-06,confinement,0,NA
Pologne,POL,2020-06-07,confinement,0,NA
Pologne,POL,2020-06-08,confinement,0,NA
Pologne,POL,2020-06-09,confinement,0,NA
Pologne,POL,2020-06-10,confinement,0,NA
Pologne,POL,2020-06-11,confinement,NA,NA
Pologne,POL,2020-06-12,confinement,NA,NA
Pologne,POL,2020-06-13,confinement,NA,NA
Pologne,POL,2020-06-14,confinement,NA,NA
Portugal,PRT,2020-01-01,confinement,0,NA
Portugal,PRT,2020-01-02,confinement,0,NA
Portugal,PRT,2020-01-03,confinement,0,NA
Portugal,PRT,2020-01-04,confinement,0,NA
Portugal,PRT,2020-01-05,confinement,0,NA
Portugal,PRT,2020-01-06,confinement,0,NA
Portugal,PRT,2020-01-07,confinement,0,NA
Portugal,PRT,2020-01-08,confinement,0,NA
Portugal,PRT,2020-01-09,confinement,0,NA
Portugal,PRT,2020-01-10,confinement,0,NA
Portugal,PRT,2020-01-11,confinement,0,NA
Portugal,PRT,2020-01-12,confinement,0,NA
Portugal,PRT,2020-01-13,confinement,0,NA
Portugal,PRT,2020-01-14,confinement,0,NA
Portugal,PRT,2020-01-15,confinement,0,NA
Portugal,PRT,2020-01-16,confinement,0,NA
Portugal,PRT,2020-01-17,confinement,0,NA
Portugal,PRT,2020-01-18,confinement,0,NA
Portugal,PRT,2020-01-19,confinement,0,NA
Portugal,PRT,2020-01-20,confinement,0,NA
Portugal,PRT,2020-01-21,confinement,0,NA
Portugal,PRT,2020-01-22,confinement,0,NA
Portugal,PRT,2020-01-23,confinement,0,NA
Portugal,PRT,2020-01-24,confinement,0,NA
Portugal,PRT,2020-01-25,confinement,0,NA
Portugal,PRT,2020-01-26,confinement,0,NA
Portugal,PRT,2020-01-27,confinement,0,NA
Portugal,PRT,2020-01-28,confinement,0,NA
Portugal,PRT,2020-01-29,confinement,0,NA
Portugal,PRT,2020-01-30,confinement,0,NA
Portugal,PRT,2020-01-31,confinement,0,NA
Portugal,PRT,2020-02-01,confinement,0,NA
Portugal,PRT,2020-02-02,confinement,0,NA
Portugal,PRT,2020-02-03,confinement,0,NA
Portugal,PRT,2020-02-04,confinement,0,NA
Portugal,PRT,2020-02-05,confinement,0,NA
Portugal,PRT,2020-02-06,confinement,0,NA
Portugal,PRT,2020-02-07,confinement,0,NA
Portugal,PRT,2020-02-08,confinement,0,NA
Portugal,PRT,2020-02-09,confinement,0,NA
Portugal,PRT,2020-02-10,confinement,0,NA
Portugal,PRT,2020-02-11,confinement,0,NA
Portugal,PRT,2020-02-12,confinement,0,NA
Portugal,PRT,2020-02-13,confinement,0,NA
Portugal,PRT,2020-02-14,confinement,0,NA
Portugal,PRT,2020-02-15,confinement,0,NA
Portugal,PRT,2020-02-16,confinement,0,NA
Portugal,PRT,2020-02-17,confinement,0,NA
Portugal,PRT,2020-02-18,confinement,0,NA
Portugal,PRT,2020-02-19,confinement,0,NA
Portugal,PRT,2020-02-20,confinement,0,NA
Portugal,PRT,2020-02-21,confinement,0,NA
Portugal,PRT,2020-02-22,confinement,0,NA
Portugal,PRT,2020-02-23,confinement,0,NA
Portugal,PRT,2020-02-24,confinement,0,NA
Portugal,PRT,2020-02-25,confinement,0,NA
Portugal,PRT,2020-02-26,confinement,0,NA
Portugal,PRT,2020-02-27,confinement,0,NA
Portugal,PRT,2020-02-28,confinement,0,NA
Portugal,PRT,2020-02-29,confinement,0,NA
Portugal,PRT,2020-03-01,confinement,0,NA
Portugal,PRT,2020-03-02,confinement,0,NA
Portugal,PRT,2020-03-03,confinement,0,NA
Portugal,PRT,2020-03-04,confinement,0,NA
Portugal,PRT,2020-03-05,confinement,0,NA
Portugal,PRT,2020-03-06,confinement,0,NA
Portugal,PRT,2020-03-07,confinement,0,NA
Portugal,PRT,2020-03-08,confinement,0,NA
Portugal,PRT,2020-03-09,confinement,0,NA
Portugal,PRT,2020-03-10,confinement,0,NA
Portugal,PRT,2020-03-11,confinement,0,NA
Portugal,PRT,2020-03-12,confinement,0,NA
Portugal,PRT,2020-03-13,confinement,0,NA
Portugal,PRT,2020-03-14,confinement,0,NA
Portugal,PRT,2020-03-15,confinement,0,NA
Portugal,PRT,2020-03-16,confinement,0,NA
Portugal,PRT,2020-03-17,confinement,0,NA
Portugal,PRT,2020-03-18,confinement,0,NA
Portugal,PRT,2020-03-19,confinement,2,1
Portugal,PRT,2020-03-20,confinement,2,1
Portugal,PRT,2020-03-21,confinement,2,1
Portugal,PRT,2020-03-22,confinement,2,1
Portugal,PRT,2020-03-23,confinement,2,1
Portugal,PRT,2020-03-24,confinement,2,1
Portugal,PRT,2020-03-25,confinement,2,1
Portugal,PRT,2020-03-26,confinement,2,1
Portugal,PRT,2020-03-27,confinement,2,1
Portugal,PRT,2020-03-28,confinement,2,1
Portugal,PRT,2020-03-29,confinement,2,1
Portugal,PRT,2020-03-30,confinement,2,1
Portugal,PRT,2020-03-31,confinement,2,1
Portugal,PRT,2020-04-01,confinement,2,1
Portugal,PRT,2020-04-02,confinement,2,1
Portugal,PRT,2020-04-03,confinement,2,1
Portugal,PRT,2020-04-04,confinement,2,1
Portugal,PRT,2020-04-05,confinement,2,1
Portugal,PRT,2020-04-06,confinement,2,1
Portugal,PRT,2020-04-07,confinement,2,1
Portugal,PRT,2020-04-08,confinement,2,1
Portugal,PRT,2020-04-09,confinement,2,1
Portugal,PRT,2020-04-10,confinement,2,1
Portugal,PRT,2020-04-11,confinement,2,1
Portugal,PRT,2020-04-12,confinement,2,1
Portugal,PRT,2020-04-13,confinement,2,1
Portugal,PRT,2020-04-14,confinement,2,1
Portugal,PRT,2020-04-15,confinement,2,1
Portugal,PRT,2020-04-16,confinement,2,1
Portugal,PRT,2020-04-17,confinement,2,1
Portugal,PRT,2020-04-18,confinement,2,1
Portugal,PRT,2020-04-19,confinement,2,1
Portugal,PRT,2020-04-20,confinement,2,1
Portugal,PRT,2020-04-21,confinement,2,1
Portugal,PRT,2020-04-22,confinement,2,1
Portugal,PRT,2020-04-23,confinement,2,1
Portugal,PRT,2020-04-24,confinement,2,1
Portugal,PRT,2020-04-25,confinement,2,1
Portugal,PRT,2020-04-26,confinement,2,1
Portugal,PRT,2020-04-27,confinement,2,1
Portugal,PRT,2020-04-28,confinement,2,1
Portugal,PRT,2020-04-29,confinement,2,1
Portugal,PRT,2020-04-30,confinement,2,1
Portugal,PRT,2020-05-01,confinement,2,1
Portugal,PRT,2020-05-02,confinement,2,1
Portugal,PRT,2020-05-03,confinement,2,1
Portugal,PRT,2020-05-04,confinement,1,1
Portugal,PRT,2020-05-05,confinement,1,1
Portugal,PRT,2020-05-06,confinement,1,1
Portugal,PRT,2020-05-07,confinement,1,1
Portugal,PRT,2020-05-08,confinement,1,1
Portugal,PRT,2020-05-09,confinement,1,1
Portugal,PRT,2020-05-10,confinement,1,1
Portugal,PRT,2020-05-11,confinement,1,1
Portugal,PRT,2020-05-12,confinement,1,1
Portugal,PRT,2020-05-13,confinement,1,1
Portugal,PRT,2020-05-14,confinement,1,1
Portugal,PRT,2020-05-15,confinement,1,1
Portugal,PRT,2020-05-16,confinement,1,1
Portugal,PRT,2020-05-17,confinement,1,1
Portugal,PRT,2020-05-18,confinement,1,1
Portugal,PRT,2020-05-19,confinement,1,1
Portugal,PRT,2020-05-20,confinement,1,1
Portugal,PRT,2020-05-21,confinement,1,1
Portugal,PRT,2020-05-22,confinement,1,1
Portugal,PRT,2020-05-23,confinement,1,1
Portugal,PRT,2020-05-24,confinement,1,1
Portugal,PRT,2020-05-25,confinement,1,1
Portugal,PRT,2020-05-26,confinement,1,1
Portugal,PRT,2020-05-27,confinement,1,1
Portugal,PRT,2020-05-28,confinement,1,1
Portugal,PRT,2020-05-29,confinement,1,1
Portugal,PRT,2020-05-30,confinement,1,1
Portugal,PRT,2020-05-31,confinement,1,1
Portugal,PRT,2020-06-01,confinement,1,1
Portugal,PRT,2020-06-02,confinement,1,1
Portugal,PRT,2020-06-03,confinement,1,1
Portugal,PRT,2020-06-04,confinement,1,1
Portugal,PRT,2020-06-05,confinement,1,1
Portugal,PRT,2020-06-06,confinement,1,1
Portugal,PRT,2020-06-07,confinement,1,1
Portugal,PRT,2020-06-08,confinement,1,1
Portugal,PRT,2020-06-09,confinement,1,1
Portugal,PRT,2020-06-10,confinement,1,1
Portugal,PRT,2020-06-11,confinement,1,1
Portugal,PRT,2020-06-12,confinement,1,1
Portugal,PRT,2020-06-13,confinement,1,1
Portugal,PRT,2020-06-14,confinement,NA,NA
Portugal,PRT,2020-06-15,confinement,NA,NA
Roumanie,ROU,2020-01-01,confinement,0,NA
Roumanie,ROU,2020-01-02,confinement,0,NA
Roumanie,ROU,2020-01-03,confinement,0,NA
Roumanie,ROU,2020-01-04,confinement,0,NA
Roumanie,ROU,2020-01-05,confinement,0,NA
Roumanie,ROU,2020-01-06,confinement,0,NA
Roumanie,ROU,2020-01-07,confinement,0,NA
Roumanie,ROU,2020-01-08,confinement,0,NA
Roumanie,ROU,2020-01-09,confinement,0,NA
Roumanie,ROU,2020-01-10,confinement,0,NA
Roumanie,ROU,2020-01-11,confinement,0,NA
Roumanie,ROU,2020-01-12,confinement,0,NA
Roumanie,ROU,2020-01-13,confinement,0,NA
Roumanie,ROU,2020-01-14,confinement,0,NA
Roumanie,ROU,2020-01-15,confinement,0,NA
Roumanie,ROU,2020-01-16,confinement,0,NA
Roumanie,ROU,2020-01-17,confinement,0,NA
Roumanie,ROU,2020-01-18,confinement,0,NA
Roumanie,ROU,2020-01-19,confinement,0,NA
Roumanie,ROU,2020-01-20,confinement,0,NA
Roumanie,ROU,2020-01-21,confinement,0,NA
Roumanie,ROU,2020-01-22,confinement,0,NA
Roumanie,ROU,2020-01-23,confinement,0,NA
Roumanie,ROU,2020-01-24,confinement,0,NA
Roumanie,ROU,2020-01-25,confinement,0,NA
Roumanie,ROU,2020-01-26,confinement,0,NA
Roumanie,ROU,2020-01-27,confinement,0,NA
Roumanie,ROU,2020-01-28,confinement,0,NA
Roumanie,ROU,2020-01-29,confinement,0,NA
Roumanie,ROU,2020-01-30,confinement,0,NA
Roumanie,ROU,2020-01-31,confinement,0,NA
Roumanie,ROU,2020-02-01,confinement,0,NA
Roumanie,ROU,2020-02-02,confinement,0,NA
Roumanie,ROU,2020-02-03,confinement,0,NA
Roumanie,ROU,2020-02-04,confinement,0,NA
Roumanie,ROU,2020-02-05,confinement,0,NA
Roumanie,ROU,2020-02-06,confinement,0,NA
Roumanie,ROU,2020-02-07,confinement,0,NA
Roumanie,ROU,2020-02-08,confinement,0,NA
Roumanie,ROU,2020-02-09,confinement,0,NA
Roumanie,ROU,2020-02-10,confinement,0,NA
Roumanie,ROU,2020-02-11,confinement,0,NA
Roumanie,ROU,2020-02-12,confinement,0,NA
Roumanie,ROU,2020-02-13,confinement,0,NA
Roumanie,ROU,2020-02-14,confinement,0,NA
Roumanie,ROU,2020-02-15,confinement,0,NA
Roumanie,ROU,2020-02-16,confinement,0,NA
Roumanie,ROU,2020-02-17,confinement,0,NA
Roumanie,ROU,2020-02-18,confinement,0,NA
Roumanie,ROU,2020-02-19,confinement,0,NA
Roumanie,ROU,2020-02-20,confinement,0,NA
Roumanie,ROU,2020-02-21,confinement,0,NA
Roumanie,ROU,2020-02-22,confinement,0,NA
Roumanie,ROU,2020-02-23,confinement,0,NA
Roumanie,ROU,2020-02-24,confinement,0,NA
Roumanie,ROU,2020-02-25,confinement,0,NA
Roumanie,ROU,2020-02-26,confinement,0,NA
Roumanie,ROU,2020-02-27,confinement,0,NA
Roumanie,ROU,2020-02-28,confinement,0,NA
Roumanie,ROU,2020-02-29,confinement,0,NA
Roumanie,ROU,2020-03-01,confinement,0,NA
Roumanie,ROU,2020-03-02,confinement,0,NA
Roumanie,ROU,2020-03-03,confinement,0,NA
Roumanie,ROU,2020-03-04,confinement,0,NA
Roumanie,ROU,2020-03-05,confinement,0,NA
Roumanie,ROU,2020-03-06,confinement,0,NA
Roumanie,ROU,2020-03-07,confinement,0,NA
Roumanie,ROU,2020-03-08,confinement,0,NA
Roumanie,ROU,2020-03-09,confinement,0,NA
Roumanie,ROU,2020-03-10,confinement,0,NA
Roumanie,ROU,2020-03-11,confinement,0,NA
Roumanie,ROU,2020-03-12,confinement,1,1
Roumanie,ROU,2020-03-13,confinement,1,1
Roumanie,ROU,2020-03-14,confinement,1,1
Roumanie,ROU,2020-03-15,confinement,1,1
Roumanie,ROU,2020-03-16,confinement,1,1
Roumanie,ROU,2020-03-17,confinement,1,1
Roumanie,ROU,2020-03-18,confinement,1,1
Roumanie,ROU,2020-03-19,confinement,1,1
Roumanie,ROU,2020-03-20,confinement,1,1
Roumanie,ROU,2020-03-21,confinement,1,1
Roumanie,ROU,2020-03-22,confinement,1,1
Roumanie,ROU,2020-03-23,confinement,1,1
Roumanie,ROU,2020-03-24,confinement,1,1
Roumanie,ROU,2020-03-25,confinement,2,1
Roumanie,ROU,2020-03-26,confinement,2,1
Roumanie,ROU,2020-03-27,confinement,2,1
Roumanie,ROU,2020-03-28,confinement,2,1
Roumanie,ROU,2020-03-29,confinement,2,1
Roumanie,ROU,2020-03-30,confinement,2,1
Roumanie,ROU,2020-03-31,confinement,2,1
Roumanie,ROU,2020-04-01,confinement,2,1
Roumanie,ROU,2020-04-02,confinement,2,1
Roumanie,ROU,2020-04-03,confinement,2,1
Roumanie,ROU,2020-04-04,confinement,2,1
Roumanie,ROU,2020-04-05,confinement,2,1
Roumanie,ROU,2020-04-06,confinement,2,1
Roumanie,ROU,2020-04-07,confinement,2,1
Roumanie,ROU,2020-04-08,confinement,2,1
Roumanie,ROU,2020-04-09,confinement,2,1
Roumanie,ROU,2020-04-10,confinement,2,1
Roumanie,ROU,2020-04-11,confinement,2,1
Roumanie,ROU,2020-04-12,confinement,2,1
Roumanie,ROU,2020-04-13,confinement,2,1
Roumanie,ROU,2020-04-14,confinement,2,1
Roumanie,ROU,2020-04-15,confinement,2,1
Roumanie,ROU,2020-04-16,confinement,2,1
Roumanie,ROU,2020-04-17,confinement,2,1
Roumanie,ROU,2020-04-18,confinement,2,1
Roumanie,ROU,2020-04-19,confinement,2,1
Roumanie,ROU,2020-04-20,confinement,2,1
Roumanie,ROU,2020-04-21,confinement,2,1
Roumanie,ROU,2020-04-22,confinement,2,1
Roumanie,ROU,2020-04-23,confinement,2,1
Roumanie,ROU,2020-04-24,confinement,2,1
Roumanie,ROU,2020-04-25,confinement,2,1
Roumanie,ROU,2020-04-26,confinement,2,1
Roumanie,ROU,2020-04-27,confinement,2,1
Roumanie,ROU,2020-04-28,confinement,2,1
Roumanie,ROU,2020-04-29,confinement,2,1
Roumanie,ROU,2020-04-30,confinement,2,1
Roumanie,ROU,2020-05-01,confinement,2,1
Roumanie,ROU,2020-05-02,confinement,2,1
Roumanie,ROU,2020-05-03,confinement,2,1
Roumanie,ROU,2020-05-04,confinement,2,1
Roumanie,ROU,2020-05-05,confinement,2,1
Roumanie,ROU,2020-05-06,confinement,2,1
Roumanie,ROU,2020-05-07,confinement,2,1
Roumanie,ROU,2020-05-08,confinement,2,1
Roumanie,ROU,2020-05-09,confinement,2,1
Roumanie,ROU,2020-05-10,confinement,2,1
Roumanie,ROU,2020-05-11,confinement,2,1
Roumanie,ROU,2020-05-12,confinement,2,1
Roumanie,ROU,2020-05-13,confinement,2,1
Roumanie,ROU,2020-05-14,confinement,2,1
Roumanie,ROU,2020-05-15,confinement,1,1
Roumanie,ROU,2020-05-16,confinement,1,1
Roumanie,ROU,2020-05-17,confinement,1,1
Roumanie,ROU,2020-05-18,confinement,1,1
Roumanie,ROU,2020-05-19,confinement,1,1
Roumanie,ROU,2020-05-20,confinement,1,1
Roumanie,ROU,2020-05-21,confinement,1,1
Roumanie,ROU,2020-05-22,confinement,1,1
Roumanie,ROU,2020-05-23,confinement,1,1
Roumanie,ROU,2020-05-24,confinement,1,1
Roumanie,ROU,2020-05-25,confinement,1,1
Roumanie,ROU,2020-05-26,confinement,1,1
Roumanie,ROU,2020-05-27,confinement,1,1
Roumanie,ROU,2020-05-28,confinement,1,1
Roumanie,ROU,2020-05-29,confinement,1,1
Roumanie,ROU,2020-05-30,confinement,1,1
Roumanie,ROU,2020-05-31,confinement,1,1
Roumanie,ROU,2020-06-01,confinement,1,1
Roumanie,ROU,2020-06-02,confinement,1,1
Roumanie,ROU,2020-06-03,confinement,1,1
Roumanie,ROU,2020-06-04,confinement,1,1
Roumanie,ROU,2020-06-05,confinement,1,1
Roumanie,ROU,2020-06-06,confinement,1,1
Roumanie,ROU,2020-06-07,confinement,1,1
Roumanie,ROU,2020-06-08,confinement,1,1
Roumanie,ROU,2020-06-09,confinement,NA,NA
Roumanie,ROU,2020-06-10,confinement,NA,NA
Roumanie,ROU,2020-06-11,confinement,NA,NA
Roumanie,ROU,2020-06-12,confinement,NA,NA
Roumanie,ROU,2020-06-13,confinement,NA,NA
Roumanie,ROU,2020-06-14,confinement,NA,NA
Serbie,SRB,2020-01-01,confinement,0,NA
Serbie,SRB,2020-01-02,confinement,0,NA
Serbie,SRB,2020-01-03,confinement,0,NA
Serbie,SRB,2020-01-04,confinement,0,NA
Serbie,SRB,2020-01-05,confinement,0,NA
Serbie,SRB,2020-01-06,confinement,0,NA
Serbie,SRB,2020-01-07,confinement,0,NA
Serbie,SRB,2020-01-08,confinement,0,NA
Serbie,SRB,2020-01-09,confinement,0,NA
Serbie,SRB,2020-01-10,confinement,0,NA
Serbie,SRB,2020-01-11,confinement,0,NA
Serbie,SRB,2020-01-12,confinement,0,NA
Serbie,SRB,2020-01-13,confinement,0,NA
Serbie,SRB,2020-01-14,confinement,0,NA
Serbie,SRB,2020-01-15,confinement,0,NA
Serbie,SRB,2020-01-16,confinement,0,NA
Serbie,SRB,2020-01-17,confinement,0,NA
Serbie,SRB,2020-01-18,confinement,0,NA
Serbie,SRB,2020-01-19,confinement,0,NA
Serbie,SRB,2020-01-20,confinement,0,NA
Serbie,SRB,2020-01-21,confinement,0,NA
Serbie,SRB,2020-01-22,confinement,0,NA
Serbie,SRB,2020-01-23,confinement,0,NA
Serbie,SRB,2020-01-24,confinement,0,NA
Serbie,SRB,2020-01-25,confinement,0,NA
Serbie,SRB,2020-01-26,confinement,0,NA
Serbie,SRB,2020-01-27,confinement,0,NA
Serbie,SRB,2020-01-28,confinement,0,NA
Serbie,SRB,2020-01-29,confinement,0,NA
Serbie,SRB,2020-01-30,confinement,0,NA
Serbie,SRB,2020-01-31,confinement,0,NA
Serbie,SRB,2020-02-01,confinement,0,NA
Serbie,SRB,2020-02-02,confinement,0,NA
Serbie,SRB,2020-02-03,confinement,0,NA
Serbie,SRB,2020-02-04,confinement,0,NA
Serbie,SRB,2020-02-05,confinement,0,NA
Serbie,SRB,2020-02-06,confinement,0,NA
Serbie,SRB,2020-02-07,confinement,0,NA
Serbie,SRB,2020-02-08,confinement,0,NA
Serbie,SRB,2020-02-09,confinement,0,NA
Serbie,SRB,2020-02-10,confinement,0,NA
Serbie,SRB,2020-02-11,confinement,0,NA
Serbie,SRB,2020-02-12,confinement,0,NA
Serbie,SRB,2020-02-13,confinement,0,NA
Serbie,SRB,2020-02-14,confinement,0,NA
Serbie,SRB,2020-02-15,confinement,0,NA
Serbie,SRB,2020-02-16,confinement,0,NA
Serbie,SRB,2020-02-17,confinement,0,NA
Serbie,SRB,2020-02-18,confinement,0,NA
Serbie,SRB,2020-02-19,confinement,0,NA
Serbie,SRB,2020-02-20,confinement,0,NA
Serbie,SRB,2020-02-21,confinement,0,NA
Serbie,SRB,2020-02-22,confinement,0,NA
Serbie,SRB,2020-02-23,confinement,0,NA
Serbie,SRB,2020-02-24,confinement,0,NA
Serbie,SRB,2020-02-25,confinement,0,NA
Serbie,SRB,2020-02-26,confinement,0,NA
Serbie,SRB,2020-02-27,confinement,0,NA
Serbie,SRB,2020-02-28,confinement,0,NA
Serbie,SRB,2020-02-29,confinement,0,NA
Serbie,SRB,2020-03-01,confinement,0,NA
Serbie,SRB,2020-03-02,confinement,0,NA
